,Name,Party,Start Date,End Date,Wikidata_ID,gender,birthday,twitter_username,twitter_numeric_user_id,subscriber_count,start_date,point_in_time,period,Location,Age,Seniority,Image_URL
13,Roelof Bisschop,,SGP,20 september 2012,Q122841334,male,+1956-11-30T00:00:00Z,BisschopRoelof,BisschopRoelof,,+2012-09-13T00:00:00Z,+2020-02-28T00:00:00Z,2012_2017,,,,
14,Stef Blok,,VVD,20 september 2012,Q122841334,male,+1964-12-10T00:00:00Z,stefblokVVD,stefblokVVD,,,+2021-01-01T00:00:00Z,2012_2017,,,,
15,Betty de Boer,,VVD,20 september 2012,Q122841334,female,+1971-09-02T00:00:00Z,bgdeboer,bgdeboer,9273.0,+2009-02-08T00:00:00Z,+2020-04-19T00:00:00Z,2012_2017,,,,
16,Harry van Bommel,,SP,20 september 2012,Q122841334,male,+1962-06-24T00:00:00Z,harryvandesp,harryvandesp,7.0,+2017-03-25T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
17,Désirée Bonis,,PvdA,20 september 2012,Q122841334,female,+1959-07-05T00:00:00Z,dbonis,dbonis,1834.0,+2012-08-11T00:00:00Z,+2020-04-19T00:00:00Z,2012_2017,,,,
18,Louis Bontes,,PVV[g],20 september 2012,Q122841334,male,+1956-02-28T00:00:00Z,Louis_Bontes,Louis_Bontes,,,,2012_2017,,,,
19,Martin Bosma,,PVV,20 september 2012,Q122841334,male,+1964-07-16T00:00:00Z,Martinbosma_pvv,Martinbosma_pvv,30265.0,+2014-08-07T00:00:00Z,+2020-04-26T00:00:00Z,2012_2017,,,,
20,Remco Bosma,,VVD,1 maart 2016,Q122841334,male,+1971-06-06T00:00:00Z,,,,,,2012_2017,,,,
21,André Bosman,,VVD,20 september 2012,Q122841334,male,+1621-00-00T00:00:00Z,,,,,,2012_2017,,,,
22,Lea Bouwmeester,,PvdA,20 september 2012,Q122841334,female,+1979-10-03T00:00:00Z,LeaBouwmeester,LeaBouwmeester,19722.0,+2009-04-14T00:00:00Z,+2020-05-02T00:00:00Z,2012_2017,,,,
23,Han ten Broeke,,VVD,20 september 2012,Q122841334,male,+1969-03-02T00:00:00Z,HanTenBroeke,HanTenBroeke,24441.0,+2010-02-23T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
24,Harm Brouwer,,PvdA,1 maart 2016,Q122841334,male,+1957-04-04T00:00:00Z,,,,,,2012_2017,,,,
25,Hanke Bruins Slot,,CDA,20 september 2012,Q122841334,female,+1977-10-20T00:00:00Z,HankeBruinsSlot,HankeBruinsSlot,5439.0,+2012-07-12T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
26,Eppo Bruins,,CU,2 december 2015,Q122841334,male,+1969-09-19T00:00:00Z,eppobruins,eppobruins,7143.0,+2009-03-17T00:00:00Z,+2020-04-17T00:00:00Z,2012_2017,,,,
27,Brigitte van der Burg,,VVD,20 september 2012,Q122841334,female,+1961-04-07T00:00:00Z,BrigittevdB,BrigittevdB,4636.0,+2010-04-19T00:00:00Z,+2020-05-01T00:00:00Z,2012_2017,,,,
28,Ingrid de Caluwé,,VVD,20 september 2012,Q122841334,female,+1967-05-27T00:00:00Z,IngriddeCaluwe,IngriddeCaluwe,5834.0,+2010-04-07T00:00:00Z,+2020-04-25T00:00:00Z,2012_2017,,,,
29,Yasemin Çegerek,,SP,18 juni 2013,Q122841334,female,+1977-11-10T00:00:00Z,yasemincegerek,yasemincegerek,2903.0,+2010-02-25T00:00:00Z,+2020-04-24T00:00:00Z,2012_2017,,,,
30,Martijn van Dam,,PvdA,20 september 2012,Q122841334,male,+1978-02-01T00:00:00Z,martijnvdam,martijnvdam,26765.0,+2009-06-26T00:00:00Z,+2020-04-30T00:00:00Z,2012_2017,,,,
31,Tjeerd van Dekken,,PvdA,20 september 2012,Q122841334,male,+1967-05-14T00:00:00Z,TjeerdVD,TjeerdVD,,+2009-05-21T00:00:00Z,+2020-03-01T00:00:00Z,2012_2017,,,,
32,Teun van Dijck,,PVV,20 september 2012,Q122841334,male,+1963-09-13T00:00:00Z,,,,,,2012_2017,,,,
33,Jasper van Dijk,,SP,20 september 2012,Q122841334,male,+1971-04-20T00:00:00Z,JaspervanDijkSP,JaspervanDijkSP,12236.0,+2012-03-07T00:00:00Z,+2020-05-02T00:00:00Z,2012_2017,,,,
34,Otwin van Dijk,,PvdA,20 september 2012,Q122841334,male,+1975-04-22T00:00:00Z,Pilotwin,Pilotwin,10910.0,+2009-10-24T00:00:00Z,+2020-04-26T00:00:00Z,2012_2017,,,,
35,Elbert Dijkgraaf,,SGP,20 september 2012,Q122841334,male,+1970-01-06T00:00:00Z,elbertdijkgraaf,elbertdijkgraaf,22892.0,+2010-04-01T00:00:00Z,+2020-04-30T00:00:00Z,2012_2017,,,,
36,Klaas Dijkhoff,,VVD,20 september 2012,Q122841334,male,+1981-01-13T00:00:00Z,dijkhoff,dijkhoff,74297.0,+2009-01-06T00:00:00Z,+2020-04-19T00:00:00Z,2012_2017,,,,
37,Pia Dijkstra,,D66,20 september 2012,Q122841334,female,+1954-12-09T00:00:00Z,piadijkstra,piadijkstra,34718.0,+2010-03-29T00:00:00Z,+2020-04-22T00:00:00Z,2012_2017,,,,
38,Remco Dijkstra,,VVD,20 september 2012,Q122841334,male,+1972-08-18T00:00:00Z,remcovvd,remcovvd,9514.0,+2009-04-15T00:00:00Z,+2020-04-23T00:00:00Z,2012_2017,,,,
39,Jeroen Dijsselbloem,,PvdA,20 september 2012,Q122841334,male,+1966-03-29T00:00:00Z,J_Dijsselbloem,J_Dijsselbloem,103193.0,+2009-04-07T00:00:00Z,+2020-05-02T00:00:00Z,2012_2017,,,,
40,Carla Dik-Faber,,CU,20 september 2012,Q122841334,female,+1971-05-06T00:00:00Z,carladikfaber,carladikfaber,15336.0,+2010-01-04T00:00:00Z,+2020-04-19T00:00:00Z,2012_2017,,,,
41,Sjoera Dikkers,,PvdA,20 september 2012,Q122841334,female,+1969-07-14T00:00:00Z,SjoeraDikkers,SjoeraDikkers,,+2010-01-05T00:00:00Z,+2020-03-21T00:00:00Z,2012_2017,,,,
42,Pieter Duisenberg,,VVD,20 september 2012,Q122841334,male,+1967-06-02T00:00:00Z,PDuisenberg,PDuisenberg,4658.0,+2012-07-13T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
43,Angelien Eijsink,,PvdA,20 september 2012,Q122841334,female,+1960-04-01T00:00:00Z,EijsinkPvdA,EijsinkPvdA,,,+2020-12-31T00:00:00Z,2012_2017,,,,
44,Ton Elias,,VVD,20 september 2012,Q122841334,male,+1955-03-14T00:00:00Z,TonElias,TonElias,19331.0,+2010-04-15T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
45,Corinne Ellemeet,,GL,18 november 2014,Q122841334,female,+1976-04-26T00:00:00Z,CorinneEllemeet,CorinneEllemeet,7188.0,+2013-02-09T00:00:00Z,+2020-04-25T00:00:00Z,2012_2017,,,,
46,Manon Fokke,,PvdA,20 september 2012,Q122841334,female,+1976-01-16T00:00:00Z,manonfokke,manonfokke,1975.0,+2012-07-03T00:00:00Z,+2020-04-15T00:00:00Z,2012_2017,,,,
47,Sietse Fritsma,,PVV,20 september 2012,Q122841334,male,+1972-03-31T00:00:00Z,,,,,,2012_2017,,,,
48,Karen Gerbrands,,PVV,13 januari 2015,Q122841334,female,+1967-08-29T00:00:00Z,KarenGerbrands1,KarenGerbrands1,,+2011-12-05T00:00:00Z,+2020-02-29T00:00:00Z,2012_2017,,,,
49,Henk van Gerven,,SP,20 september 2012,Q122841334,male,+1955-03-11T00:00:00Z,HenkvGerven,HenkvGerven,5927.0,+2012-10-08T00:00:00Z,+2020-04-25T00:00:00Z,2012_2017,,,,
50,Jock Geselschap,,VVD,30 november 2016,Q122841334,male,+1969-07-28T00:00:00Z,jockgeselschap,jockgeselschap,888.0,+2009-12-29T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
51,Jaco Geurts,,CDA,20 september 2012,Q122841334,male,+1970-07-11T00:00:00Z,JacoGeurts,JacoGeurts,8308.0,+2010-04-14T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
52,Machiel de Graaf,,PVV,20 september 2012,Q122841334,male,+1969-06-26T00:00:00Z,GraafdeMachiel,GraafdeMachiel,,+2010-02-07T00:00:00Z,+2020-03-31T00:00:00Z,2012_2017,,,,
53,Rik Grashoff,,GL,20 mei 2015,Q122841334,male,+1961-04-05T00:00:00Z,rikgrashoff,rikgrashoff,4872.0,+2010-11-22T00:00:00Z,+2020-04-23T00:00:00Z,2012_2017,,,,
54,Dion Graus,,PVV,20 september 2012,Q122841334,male,+1967-03-19T00:00:00Z,RidderDionGraus,RidderDionGraus,,+2012-08-14T00:00:00Z,+2020-03-24T00:00:00Z,2012_2017,,,,
55,Ed Groot,,PvdA,20 september 2012,Q122841334,male,+1957-12-26T00:00:00Z,,,,,,2012_2017,,,,
56,Sultan Günal-Gezer,,PvdA,8 november 2012,Q122841334,female,+1961-05-01T00:00:00Z,SultanGunal,SultanGunal,1843.0,+2010-01-24T00:00:00Z,+2020-04-27T00:00:00Z,2012_2017,,,,
57,Wassila Hachchi,,D66,20 september 2012,Q122841334,female,+1980-01-06T00:00:00Z,WassilaHachchi,WassilaHachchi,8427.0,+2010-02-11T00:00:00Z,+2020-04-15T00:00:00Z,2012_2017,,,,
58,Sybrand van Haersma Buma,,CDA,20 september 2012,Q122841334,male,+1965-07-30T00:00:00Z,sybrandbuma,sybrandbuma,82529.0,+2011-04-28T00:00:00Z,+2020-04-24T00:00:00Z,2012_2017,,,,
59,Mariëtte Hamer,,PvdA,20 september 2012,Q122841334,female,+1958-06-07T00:00:00Z,mariettehamer,mariettehamer,13742.0,+2009-04-08T00:00:00Z,+2020-06-16T00:00:00Z,2012_2017,,,,
60,Mark Harbers,,VVD,20 september 2012,Q122841334,male,+1969-04-19T00:00:00Z,markharbers,markharbers,14179.0,+2010-02-18T00:00:00Z,+2020-04-15T00:00:00Z,2012_2017,,,,
61,Rudmer Heerema,,VVD,3 september 2013,Q122841334,male,+1978-02-02T00:00:00Z,RudmerHeerema,RudmerHeerema,,,,2012_2017,,,,
62,Pieter Heerma,,CDA,20 september 2012,Q122841334,male,+1977-08-05T00:00:00Z,PieterHeerma,PieterHeerma,6945.0,+2012-06-17T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
63,Pierre Heijnen,,PvdA,20 september 2012,Q122841334,male,+1953-10-05T00:00:00Z,pierreheijnen,pierreheijnen,3770.0,+2010-08-10T00:00:00Z,+2020-05-01T00:00:00Z,2012_2017,,,,
64,Lilian Helder,,PVV,20 september 2012,Q122841334,female,+1973-05-30T00:00:00Z,lilianhelderpvv,lilianhelderpvv,16255.0,+2010-11-06T00:00:00Z,+2020-04-15T00:00:00Z,2012_2017,,,,
65,Martijn van Helvert,,CDA,12 november 2014,Q122841334,male,+1978-04-07T00:00:00Z,Martijncda,Martijncda,7804.0,+2009-12-15T00:00:00Z,+2020-04-26T00:00:00Z,2012_2017,,,,
66,Jeanine Hennis-Plasschaert,,VVD,20 september 2012,Q122841334,female,+1973-04-07T00:00:00Z,JeanineHennis,JeanineHennis,113447.0,+2009-02-03T00:00:00Z,+2020-04-25T00:00:00Z,2012_2017,,,,
67,Eddy van Hijum,,CDA,20 september 2012,Q122841334,male,+1972-04-17T00:00:00Z,vanHijum,vanHijum,,+2009-06-20T00:00:00Z,+2020-02-29T00:00:00Z,2012_2017,,,,
68,Myrthe Hilkens,,PvdA,20 september 2012,Q122841334,female,+1979-01-31T00:00:00Z,MHilkens,MHilkens,,,,2012_2017,,,,
69,Duco Hoogland,,PvdA,8 november 2012,Q122841334,male,+1984-09-14T00:00:00Z,ducohoogland,ducohoogland,,+2008-09-04T00:00:00Z,+2020-03-20T00:00:00Z,2012_2017,,,,
70,Johan Houwers,,VVD,8 november 2012,Q122841334,male,+1957-10-04T00:00:00Z,johanhouwers,johanhouwers,2105.0,+2011-03-31T00:00:00Z,+2020-04-30T00:00:00Z,2012_2017,,,,
71,Matthijs Huizing,,VVD,20 september 2012,Q122841334,male,+1960-10-10T00:00:00Z,Matthijshuizing,Matthijshuizing,1896.0,+2009-04-14T00:00:00Z,+2020-05-02T00:00:00Z,2012_2017,,,,
72,Lutz Jacobi,,PvdA,20 september 2012,Q122841334,female,+1955-12-13T00:00:00Z,lutzjacobi,lutzjacobi,12949.0,+2009-11-28T00:00:00Z,+2020-04-30T00:00:00Z,2012_2017,,,,
73,Tanja Jadnanansing,,PvdA,20 september 2012,Q122841334,female,+1967-04-26T00:00:00Z,tanjajad,tanjajad,8995.0,+2011-04-04T00:00:00Z,+2020-04-24T00:00:00Z,2012_2017,,,,
74,Paulus Jansen,,SP,20 september 2012,Q122841334,male,+1954-03-02T00:00:00Z,PaulusJansenSP,PaulusJansenSP,,,,2012_2017,,,,
75,Sadet Karabulut,,SP,20 september 2012,Q122841334,female,+1975-04-28T00:00:00Z,SadetKarabulut,SadetKarabulut,18496.0,+2011-04-27T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
76,Mona Keijzer,,CDA,20 september 2012,Q122841334,female,+1968-10-09T00:00:00Z,MonaKeijzer,MonaKeijzer,41478.0,+2009-06-21T00:00:00Z,+2020-04-26T00:00:00Z,2012_2017,,,,
77,John Kerstens,,PvdA,20 september 2012,Q122841334,male,+1965-01-20T00:00:00Z,JohnKerstens,JohnKerstens,7539.0,+2010-05-09T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
78,Jesse Klaver,,GL,20 september 2012,Q122841334,male,+1986-05-01T00:00:00Z,jesseklaver,jesseklaver,244184.0,+2008-11-16T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
79,Joram van Klaveren,,PVV[q],20 september 2012,Q122841334,male,+1979-01-23T00:00:00Z,JoramvKlaveren,JoramvKlaveren,13827.0,+2014-09-24T00:00:00Z,+2020-04-25T00:00:00Z,2012_2017,,,,
80,Norbert Klein,,50+[t],20 september 2012,Q122841334,male,+1866-10-25T00:00:00Z,,,,,,2012_2017,,,,
81,Reinette Klever,,PVV,20 september 2012,Q122841334,female,+1967-07-21T00:00:00Z,rjklever,rjklever,4059.0,+2011-01-13T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
82,Jetta Klijnsma,,PvdA,20 september 2012,Q122841334,female,+1957-03-18T00:00:00Z,Jetta_Klijnsma,Jetta_Klijnsma,5790.0,+2012-07-19T00:00:00Z,+2020-05-02T00:00:00Z,2012_2017,,,,
83,Nine Kooiman,,SP,20 september 2012,Q122841334,female,+1980-12-09T00:00:00Z,NineKooiman,NineKooiman,12279.0,+2010-01-29T00:00:00Z,+2020-04-15T00:00:00Z,2012_2017,,,,
84,Wouter Koolmees,,D66,20 september 2012,Q122841334,male,+1977-03-20T00:00:00Z,wkoolmees,wkoolmees,16253.0,+2010-04-18T00:00:00Z,+2020-04-24T00:00:00Z,2012_2017,,,,
85,Henk Krol,,50+,20 september 2012,Q122841334,male,+1950-04-01T00:00:00Z,HenkKrol,HenkKrol,19466.0,+2009-03-14T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
86,[w],Fractie-50PLUS/Baay[w],10 september 2014,22 maart 2017,Q122841334,,,,,,,,2012_2017,,,,
87,Attje Kuiken,,PvdA,20 september 2012,Q122841334,female,+1977-10-27T00:00:00Z,attjekuiken,attjekuiken,10439.0,+2009-03-31T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
88,Tunahan Kuzu,,PvdA[y],20 september 2012,Q122841334,male,+1981-06-05T00:00:00Z,tunahankuzu,tunahankuzu,22866.0,+2008-07-15T00:00:00Z,+2020-04-24T00:00:00Z,2012_2017,,,,
89,Roelof van Laar,,PvdA,14 mei 2013,Q122841334,male,+1981-05-19T00:00:00Z,Roelof,Roelof,3573.0,+2007-11-26T00:00:00Z,+2020-04-27T00:00:00Z,2012_2017,,,,
90,Leendert de Lange,,VVD,31 maart 2015,Q122841334,male,+1972-11-13T00:00:00Z,leendertdelange,leendertdelange,2415.0,+2009-03-25T00:00:00Z,+2020-04-22T00:00:00Z,2012_2017,,,,
91,René Leegte,,VVD,20 september 2012,Q122841334,male,+1968-07-08T00:00:00Z,reneleegte,reneleegte,,+2009-06-11T00:00:00Z,+2020-03-24T00:00:00Z,2012_2017,,,,
92,Henk Leenders,,PvdA,3 september 2013,Q122841334,male,+1955-01-28T00:00:00Z,henkleenders,henkleenders,2205.0,+2010-02-24T00:00:00Z,+2020-04-17T00:00:00Z,2012_2017,,,,
93,Renske Leijten,,SP,20 september 2012,Q122841334,female,+1979-03-17T00:00:00Z,RenskeLeijten,RenskeLeijten,39831.0,+2010-04-13T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
94,Bart de Liefde,,VVD,20 september 2012,Q122841334,male,+1976-09-18T00:00:00Z,deliefde,deliefde,5204.0,+2010-11-04T00:00:00Z,+2020-04-19T00:00:00Z,2012_2017,,,,
95,Roald van der Linde,,VVD,8 november 2012,Q122841334,male,+1968-11-22T00:00:00Z,RoaldLinde,RoaldLinde,4154.0,+2012-05-14T00:00:00Z,+2020-04-15T00:00:00Z,2012_2017,,,,
96,Pieter Litjens,,VVD,20 september 2012,Q122841334,male,+1968-05-17T00:00:00Z,PieterLitjens,PieterLitjens,,+2010-06-09T00:00:00Z,+2020-02-29T00:00:00Z,2012_2017,,,,
97,Helma Lodders,,VVD,20 september 2012,Q122841334,female,+1968-06-21T00:00:00Z,HelmaLodders,HelmaLodders,11118.0,+2009-08-17T00:00:00Z,+2020-04-25T00:00:00Z,2012_2017,,,,
98,Anne-Wil Lucas,,VVD,20 september 2012,Q122841334,female,+1975-01-10T00:00:00Z,annewillucas,annewillucas,,+2010-05-02T00:00:00Z,+2020-03-19T00:00:00Z,2012_2017,,,,
99,Barry Madlener,,PVV,20 september 2012,Q122841334,male,+1969-01-06T00:00:00Z,,,,,,2012_2017,,,,
100,Marit Maij,,PvdA,20 september 2012,Q122841334,female,+1972-01-16T00:00:00Z,MaritMaij,MaritMaij,6127.0,+2012-07-08T00:00:00Z,+2020-04-26T00:00:00Z,2012_2017,,,,
101,Ahmed Marcouch,,PvdA,20 september 2012,Q122841334,male,+1969-05-02T00:00:00Z,ahmedmarcouch,ahmedmarcouch,,+2009-07-20T00:00:00Z,+2020-12-29T00:00:00Z,2012_2017,,,,
102,Paul van Meenen,,D66,20 september 2012,Q122841334,male,+1956-01-29T00:00:00Z,Paul_van_Meenen,Paul_van_Meenen,13600.0,+2010-09-02T00:00:00Z,+2020-04-26T00:00:00Z,2012_2017,,,,
103,Arnold Merkies,,PvdA,20 september 2012,Q122841334,male,+1968-12-06T00:00:00Z,amerkies,amerkies,3678.0,+2010-03-11T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
104,Anouchka van Miltenburg,,VVD,20 september 2012,Q122841334,female,+1967-04-20T00:00:00Z,AnouchkavM,AnouchkavM,,,,2012_2017,,,,
105,Mohammed Mohandis,,PvdA,20 september 2012,Q122841334,male,+1985-06-28T00:00:00Z,MoMohandis,MoMohandis,5344.0,+2009-06-08T00:00:00Z,+2020-04-26T00:00:00Z,2012_2017,,,,
106,Jacques Monasch,,PvdA[af],20 september 2012,Q122841334,male,+1962-01-04T00:00:00Z,JacquesMonasch,JacquesMonasch,16199.0,+2010-01-18T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
107,Perjan Moors,,VVD,14 januari 2014,Q122841334,male,+1967-10-20T00:00:00Z,perjanmoors,perjanmoors,1010.0,+2009-06-25T00:00:00Z,+2020-04-22T00:00:00Z,2012_2017,,,,
108,Agnes Mulder,,CDA,20 september 2012,Q122841334,female,+1973-10-21T00:00:00Z,AgnesMulderCDA,AgnesMulderCDA,11226.0,+2012-04-13T00:00:00Z,+2020-04-24T00:00:00Z,2012_2017,,,,
109,Anne Mulder,,VVD,20 september 2012,Q122841334,male,+1969-12-14T00:00:00Z,a_mulder,a_mulder,,+2010-03-30T00:00:00Z,+2020-03-21T00:00:00Z,2012_2017,,,,
110,Helma Neppérus,,VVD,20 september 2012,Q122841334,female,+1950-06-21T00:00:00Z,helmanepperus,helmanepperus,9741.0,+2010-04-07T00:00:00Z,+2020-04-30T00:00:00Z,2012_2017,,,,
111,Cora van Nieuwenhuizen,,VVD,20 september 2012,Q122841334,female,+1963-06-12T00:00:00Z,CvNieuwenhuizen,CvNieuwenhuizen,18446.0,+2009-11-23T00:00:00Z,+2020-06-16T00:00:00Z,2012_2017,,,,
112,Henk Nijboer,,PvdA,20 september 2012,Q122841334,male,+1983-03-31T00:00:00Z,henknijboer,henknijboer,9352.0,+2010-04-29T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
113,Chantal Nijkerken-de Haan,,VVD,31 maart 2015,Q122841334,female,+1973-09-18T00:00:00Z,cnijkerken,cnijkerken,1608.0,+2010-06-01T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
114,Michiel van Nispen,,SP,2 april 2014,Q122841334,male,+1982-10-14T00:00:00Z,MichielvNispen,MichielvNispen,1057.0,+2012-06-12T00:00:00Z,+2020-04-26T00:00:00Z,2012_2017,,,,
115,Bram van Ojik,,GL,20 september 2012,Q122841334,male,+1954-09-22T00:00:00Z,BramvanOjikGL,BramvanOjikGL,,+2012-07-27T00:00:00Z,+2020-03-14T00:00:00Z,2012_2017,,,,
116,Pieter Omtzigt,,CDA,20 september 2012,Q122841334,male,+1974-01-08T00:00:00Z,PieterOmtzigt,PieterOmtzigt,56426.0,+2009-01-20T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
117,Astrid Oosenbrug,,PvdA,20 september 2012,Q122841334,female,+1968-07-06T00:00:00Z,AstridOosenbrug,AstridOosenbrug,4708.0,+2010-01-24T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
118,Foort van Oosten,,VVD,20 september 2012,Q122841334,male,+1977-06-25T00:00:00Z,foortvanoosten,foortvanoosten,3972.0,+2011-02-05T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
119,Peter Oskam,,CDA,20 september 2012,Q122841334,male,+1960-01-05T00:00:00Z,peteroskam_bgm,peteroskam_bgm,,+2012-06-25T00:00:00Z,+2020-02-27T00:00:00Z,2012_2017,,,,
120,Esther Ouwehand,,PvdD,20 september 2012,Q122841334,female,+1976-06-10T00:00:00Z,estherouwehand,estherouwehand,27078.0,+2010-05-02T00:00:00Z,+2020-04-19T00:00:00Z,2012_2017,,,,
121,Selçuk Öztürk,,PvdA,8 november 2012,Q122841334,male,+1972-04-08T00:00:00Z,selcukozturknl,selcukozturknl,7751.0,+2011-01-17T00:00:00Z,+2020-04-23T00:00:00Z,2012_2017,,,,
122,Alexander Pechtold,,D66,20 september 2012,Q122841334,male,+1965-12-16T00:00:00Z,APechtold,APechtold,651408.0,+2008-10-12T00:00:00Z,+2020-04-25T00:00:00Z,2012_2017,,,,
123,Ronald Plasterk,,PvdA,20 september 2012,Q122841334,male,+1957-04-12T00:00:00Z,RPlasterk,RPlasterk,75521.0,+2012-03-19T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
124,Sjoerd Potters,,VVD,8 november 2012,Q122841334,male,+1974-02-14T00:00:00Z,SjoerdPotters,SjoerdPotters,4471.0,+2010-05-31T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
125,Ronald van Raak,,SP,20 september 2012,Q122841334,male,+1969-10-30T00:00:00Z,ronaldvanraak,ronaldvanraak,422.0,+2010-03-05T00:00:00Z,+2020-05-01T00:00:00Z,2012_2017,,,,
126,Jeroen Recourt,,PvdA,20 september 2012,Q122841334,male,+1970-07-04T00:00:00Z,jeroenrecourt,jeroenrecourt,3396.0,+2011-02-04T00:00:00Z,+2020-04-15T00:00:00Z,2012_2017,,,,
127,Daniël van der Ree,,VVD,7 september 2016,Q122841334,male,+1972-01-08T00:00:00Z,danielvanderree,danielvanderree,3911.0,+2009-03-12T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
128,Emile Roemer,,SP,20 september 2012,Q122841334,male,+1962-08-24T00:00:00Z,emileroemer,emileroemer,203293.0,+2010-03-05T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
129,Michel Rog,,CDA,20 september 2012,Q122841334,male,+1973-04-03T00:00:00Z,michelrog,michelrog,12117.0,+2009-04-20T00:00:00Z,+2020-04-22T00:00:00Z,2012_2017,,,,
130,Erik Ronnes,,CDA,20 mei 2015,Q122841334,male,+1967-11-06T00:00:00Z,ErikRonnes,ErikRonnes,4029.0,+2009-04-11T00:00:00Z,+2020-04-25T00:00:00Z,2012_2017,,,,
